Duration,№,File Name,File Extension,Type of content,Size,Date,Owner,Access Rights,Files Inside,
"00:00:0.04","1","126559297-black-and-white-siberian-husky-dog-on-white.jpg","jpg","JPEG image data","12.23K","22:47:53 03/27/20","kibotenok","-rw-rw-r--","-",
"00:03:8.40","2","Anacondaz - Ангел.mp3","mp3","Audio file with ID3 version 2.3.0","7.18M","22:43:21 03/27/20","kibotenok","-rw-rw-r--","-",
"-","3","download","-","Microsoft Word 2007+","906.57K","11:17:17 03/27/20","kibotenok","-rw-rw-r--","-",
"-","4","FolderInfo.csv","csv","UTF-8 Unicode text","510","00:46:55 03/28/20","kibotenok","-rw-r--r--","-",
"00:00:0.04","5","hallo p.txt","txt","ASCII text","10","22:44:08 03/27/20","kibotenok","-rw-r--r--","-",
"-","6","i_m_empty","-","empty","0","23:09:03 03/27/20","kibotenok","-rw-r--r--","-",
"-","7","Stsenarii_komandnoy_obolochki_Linux_OS_X_i_Unix_2017.pdf","pdf","PDF document","6.43M","11:17:52 03/26/20","kibotenok","-rw-rw-r--","-",
"-","8","Test","-","directory","4.00K","23:04:58 03/27/20","kibotenok","drwxr-xr-x","0",
"-","9","Test 2","-","directory","4.00K","23:05:14 03/27/20","kibotenok","drwxr-xr-x","3",
"-","10","test.py","py","Python script","1.29K","15:29:17 03/26/20","kibotenok","-rw-rw-r--","-",
"00:03:50.37","11","y2mate.com - Epic Rat Tricks_0jo_EG7XqZQ_1080p.mp4","mp4","ISO Media","49.75M","22:49:48 03/27/20","kibotenok","-rw-rw-r--","-",
